gre_score,test_score_toefl,undergraduation_score,work_ex,papers_published,ranking,status,technical_skills_score,Logical quotient rating,Hours working per day
318.0,110.0,3.14,6.0,0.0,15.0,accept,73.25,9,8
320.0,108.0,3.46,5.0,3.0,15.0,accept,81.375,5,5
318.0,108.0,2.94,24.0,0.0,15.0,accept,73.125,7,4
320.0,107.0,3.68,4.0,0.0,15.0,accept,74.25,7,7
315.0,114.0,3.8,1.0,0.0,15.0,accept,77.125,7,9
308.0,75.0,3.21,50.0,0.0,15.0,accept,77.75,5,10
310.0,100.0,2.92,4.0,0.0,15.0,accept,80.625,2,12
338.0,119.0,3.68,6.0,0.0,15.0,accept,75.5,4,11
315.0,105.0,2.59,9.0,3.0,15.0,accept,72.125,5,4
313.0,114.0,3.82,1.0,0.0,15.0,accept,80.5,8,6
308.0,102.0,3.06,7.0,3.0,15.0,accept,75.875,3,10
312.0,106.0,2.96,0.0,0.0,15.0,accept,69.875,6,10
312.0,107.0,3.24,25.0,0.0,15.0,accept,76.875,3,8
316.0,102.0,3.05,6.0,0.0,15.0,accept,74.5,9,5
316.0,110.0,3.08,9.0,0.0,15.0,accept,70.125,5,9
316.0,108.0,3.82,3.0,3.0,15.0,accept,79.5,3,6
324.0,108.0,3.29,30.0,2.0,15.0,accept,69.125,7,4
317.0,114.0,2.8,10.0,0.0,15.0,accept,81.0,2,7
310.0,101.0,3.19,0.0,3.0,15.0,accept,75.5,6,7
329.0,108.0,3.38,16.0,0.0,15.0,accept,75.375,1,10
310.0,106.0,3.14,60.0,0.0,15.0,accept,78.5,2,10
316.0,101.0,3.5,1.0,0.0,15.0,accept,75.5,8,9
316.0,100.0,3.46,0.0,0.0,15.0,accept,78.75,3,8
317.0,111.0,2.61,36.0,0.0,15.0,accept,73.875,7,12
321.0,109.0,3.27,2.0,0.0,15.0,accept,75.125,3,8
318.0,100.0,2.89,30.0,0.0,15.0,accept,79.0,6,4
311.0,102.0,3.66,16.0,0.0,15.0,accept,75.25,7,5
319.0,113.0,3.44,10.0,0.0,15.0,accept,73.25,4,5
325.0,110.0,3.44,33.0,0.0,15.0,accept,77.5,5,5
320.0,104.0,3.46,24.0,0.0,15.0,accept,80.625,1,9
320.0,101.0,3.44,17.0,0.0,15.0,accept,75.75,9,7
327.0,109.0,2.87,30.0,0.0,15.0,accept,75.125,5,6
314.0,104.0,2.96,43.0,0.0,15.0,accept,83.0,2,10
319.0,110.0,3.14,24.0,0.0,15.0,accept,78.625,6,8
326.0,110.0,2.96,31.0,0.0,15.0,accept,73.75,5,10
327.0,109.0,3.33,8.0,0.0,15.0,accept,83.75,5,8
320.0,102.0,3.42,22.0,0.0,15.0,accept,73.75,6,5
314.0,105.0,3.47,14.0,0.0,15.0,accept,74.875,7,6
306.0,101.0,3.59,60.0,0.0,15.0,accept,81.125,9,12
324.0,113.0,3.56,31.0,2.0,15.0,accept,82.5,7,11
313.0,103.0,2.4,27.0,3.0,15.0,accept,74.625,6,11
316.0,105.0,3.42,24.0,3.0,15.0,accept,78.0,8,7
317.0,106.0,3.62,0.0,3.0,15.0,accept,81.5,4,9
311.0,102.0,3.41,28.0,0.0,15.0,accept,76.875,9,8
305.0,75.0,3.63,6.0,0.0,15.0,accept,80.375,6,5
322.0,109.0,3.0,20.0,3.0,15.0,accept,77.625,3,11
311.0,107.0,2.7,60.0,0.0,15.0,accept,76.125,2,5
320.0,103.0,3.59,4.0,0.0,15.0,accept,79.0,7,5
321.0,111.0,3.6,6.0,0.0,15.0,accept,74.125,9,12
317.0,104.0,3.43,6.0,0.0,15.0,accept,68.875,5,7
316.0,106.0,3.07,28.0,0.0,15.0,accept,77.875,1,4
315.0,108.0,3.62,1.0,0.0,15.0,accept,75.5,1,10
321.0,109.0,3.16,44.0,0.0,15.0,accept,79.25,2,5
329.0,114.0,2.66,18.0,0.0,15.0,accept,74.25,2,7
320.0,104.0,3.86,2.0,1.0,15.0,accept,73.375,7,6
319.0,110.0,3.14,60.0,0.0,15.0,accept,74.25,2,8
314.0,108.0,3.73,2.0,0.0,15.0,accept,80.5,2,6
314.0,107.0,3.05,18.0,0.0,15.0,accept,80.0,8,5
314.0,109.0,2.96,24.0,0.0,15.0,accept,77.875,7,10
322.0,108.0,2.5,7.0,2.0,15.0,accept,79.125,3,6
307.0,104.0,3.68,1.0,0.0,15.0,accept,75.625,2,12
306.0,114.0,3.15,0.0,3.0,15.0,accept,83.625,8,12
313.0,110.0,2.9,7.0,0.0,15.0,accept,75.875,9,7
309.0,101.0,3.8,0.0,0.0,15.0,accept,72.75,7,7
317.0,75.0,2.88,26.0,2.0,15.0,accept,76.875,2,6
315.0,109.0,3.89,1.0,0.0,15.0,accept,80.875,8,4
318.0,114.0,3.26,33.0,0.0,15.0,accept,83.0,8,4
309.0,75.0,3.37,30.0,0.0,15.0,accept,76.625,6,4
327.0,0.0,3.74,0.0,0.0,15.0,accept,80.0,6,7
299.0,75.0,2.62,55.0,0.0,15.0,accept,71.125,6,12
321.0,109.0,3.0,0.0,0.0,15.0,accept,78.25,6,6
319.0,106.0,3.34,36.0,0.0,15.0,accept,71.125,4,6
317.0,118.0,3.5,15.0,2.0,15.0,accept,78.625,8,12
328.0,114.0,2.99,17.0,0.0,15.0,accept,72.0,7,10
318.0,100.0,3.08,14.0,0.0,15.0,accept,72.5,1,11
331.0,115.0,2.35,46.0,0.0,15.0,accept,75.0,6,4
310.0,105.0,3.38,5.0,3.0,15.0,accept,74.5,3,11
327.0,117.0,3.28,16.0,0.0,15.0,accept,71.375,7,11
309.0,101.0,3.5,24.0,3.0,15.0,accept,72.125,7,12
317.0,114.0,2.64,24.0,0.0,15.0,accept,80.0,3,5
313.0,75.0,3.57,12.0,0.0,15.0,accept,73.125,9,5
314.0,111.0,2.7,52.0,0.0,15.0,accept,82.375,7,7
321.0,100.0,3.36,3.0,0.0,15.0,accept,76.375,2,6
318.0,109.0,2.4,49.0,0.0,15.0,accept,70.25,7,11
318.0,114.0,2.94,24.0,0.0,15.0,accept,75.625,3,12
315.0,75.0,3.01,13.0,0.0,15.0,accept,78.625,9,5
313.0,100.0,3.07,20.0,0.0,15.0,accept,74.25,1,7
317.0,102.0,3.5,13.0,0.0,15.0,accept,79.25,4,7
312.0,107.0,2.96,17.0,0.0,15.0,accept,74.125,7,7
326.0,100.0,2.84,0.0,0.0,15.0,accept,70.625,6,9
320.0,113.0,2.7,82.0,0.0,15.0,accept,71.5,5,7
316.0,107.0,3.19,4.0,3.0,15.0,accept,82.125,7,7
322.0,108.0,3.16,60.0,0.0,15.0,accept,73.25,3,9
325.0,112.0,3.38,5.0,0.0,15.0,accept,74.375,7,8
318.0,108.0,3.32,18.0,0.0,15.0,accept,83.375,2,6
318.0,101.0,3.25,7.0,0.0,15.0,accept,83.125,8,7
308.0,75.0,3.1,12.0,0.0,15.0,accept,75.125,3,12
313.0,101.0,3.0,18.0,0.0,15.0,accept,79.75,1,4
327.0,111.0,3.46,22.0,0.0,15.0,accept,76.5,1,12
312.0,105.0,2.7,22.0,2.0,15.0,accept,75.0,2,10
327.0,104.0,3.53,18.0,0.0,15.0,accept,78.75,2,10
315.0,107.0,2.3,36.0,0.0,15.0,accept,74.75,7,12
325.0,115.0,3.48,1.0,0.0,15.0,accept,77.5,5,9
309.0,105.0,3.59,2.0,0.0,15.0,accept,75.625,3,6
333.0,114.0,3.61,2.0,0.0,15.0,accept,80.125,1,12
317.0,111.0,3.24,1.0,0.0,15.0,accept,75.75,2,10
329.0,114.0,3.25,3.0,0.0,15.0,accept,81.0,8,10
319.0,106.0,2.05,38.0,0.0,15.0,accept,73.375,6,5
321.0,110.0,3.37,6.0,0.0,15.0,accept,76.125,8,5
315.0,103.0,3.81,32.0,0.0,15.0,accept,76.75,9,6
322.0,103.0,3.23,28.0,0.0,15.0,accept,73.0,2,6
323.0,112.0,3.29,12.0,3.0,15.0,accept,81.125,9,11
308.0,106.0,3.08,0.0,0.0,15.0,accept,79.875,4,4
317.0,101.0,3.71,50.0,0.0,15.0,accept,79.375,2,11
316.0,93.0,3.37,52.0,3.0,15.0,accept,84.0,9,6
330.0,114.0,2.4,6.0,0.0,15.0,accept,79.875,3,5
310.0,75.0,2.88,58.0,0.0,15.0,accept,78.75,2,4
316.0,112.0,3.24,24.0,0.0,15.0,accept,75.375,3,7
320.0,108.0,3.24,28.0,3.0,15.0,accept,76.75,7,12
306.0,101.0,2.65,0.0,0.0,15.0,accept,82.875,2,4
314.0,98.0,3.4,18.0,2.0,15.0,accept,78.125,8,7
309.0,101.0,2.9,51.0,0.0,15.0,accept,79.875,6,11
313.0,111.0,3.44,22.0,3.0,15.0,accept,69.375,1,7
313.0,108.0,3.46,0.0,0.0,15.0,accept,83.0,4,6
313.0,107.0,3.27,6.0,2.0,15.0,accept,75.5,9,6
317.0,106.0,3.19,24.0,0.0,15.0,accept,77.75,5,4
324.0,106.0,3.0,26.0,0.0,15.0,accept,78.625,8,10
306.0,111.0,3.0,49.0,0.0,15.0,accept,76.375,4,8
312.0,104.0,3.0,24.0,0.0,15.0,accept,79.25,8,11
329.0,110.0,3.39,3.0,2.0,15.0,accept,74.375,3,8
311.0,102.0,3.02,27.0,3.0,15.0,accept,70.125,9,12
311.0,101.0,2.2,0.0,0.0,15.0,accept,74.25,7,12
317.0,105.0,3.29,48.0,0.0,15.0,accept,76.0,3,9
310.0,101.0,3.69,15.0,0.0,15.0,accept,79.25,7,7
322.0,115.0,2.4,22.0,3.0,15.0,accept,78.875,8,11
306.0,99.0,2.56,29.0,1.0,15.0,accept,74.25,1,12
315.0,102.0,2.94,31.0,2.0,15.0,accept,78.375,3,7
315.0,107.0,3.42,0.0,3.0,15.0,accept,84.75,4,12
310.0,101.0,2.92,0.0,0.0,15.0,accept,77.125,7,7
311.0,114.0,3.34,43.0,0.0,15.0,accept,75.75,8,8
318.0,102.0,3.57,38.0,0.0,15.0,accept,77.375,3,5
323.0,107.0,3.66,8.0,0.0,15.0,accept,78.5,1,11
312.0,99.0,3.3,13.0,2.0,15.0,accept,72.625,2,9
307.0,104.0,2.62,11.0,0.0,15.0,accept,74.75,1,7
326.0,110.0,3.24,0.0,0.0,15.0,accept,81.125,2,8
307.0,107.0,3.4,6.0,3.0,15.0,accept,74.625,7,5
324.0,112.0,2.18,20.0,0.0,15.0,accept,78.75,8,5
316.0,0.0,2.45,27.0,0.0,15.0,accept,78.75,9,4
319.0,0.0,3.43,1.0,3.0,15.0,accept,78.875,5,4
318.0,0.0,2.93,17.0,0.0,15.0,accept,75.5,8,9
314.0,106.0,2.74,46.0,3.0,15.0,accept,79.25,1,11
321.0,111.0,2.8,24.0,0.0,15.0,accept,81.625,2,8
328.0,0.0,2.35,24.0,3.0,15.0,accept,75.25,4,12
318.0,112.0,2.9,2.0,3.0,15.0,accept,79.25,7,12
320.0,114.0,2.8,12.0,1.0,15.0,accept,82.0,9,8
319.0,0.0,2.5,2.0,0.0,15.0,accept,76.375,4,11
315.0,108.0,3.18,17.0,3.0,15.0,accept,79.0,8,12
314.0,108.0,3.48,2.0,0.0,15.0,accept,71.375,4,7
322.0,107.0,3.28,15.0,0.0,15.0,accept,79.0,2,7
315.0,105.0,3.68,18.0,3.0,15.0,accept,79.0,8,6
314.0,105.0,3.4,41.0,0.0,15.0,accept,72.75,9,11
320.0,104.0,3.62,5.0,3.0,15.0,accept,76.5,7,9
329.0,116.0,3.64,10.0,3.0,15.0,accept,73.625,8,10
312.0,104.0,2.96,30.0,3.0,15.0,accept,75.0,6,4
321.0,105.0,3.0,39.0,0.0,15.0,accept,84.25,9,8
332.0,115.0,3.52,22.0,0.0,15.0,accept,79.0,8,10
329.0,113.0,3.16,18.0,0.0,15.0,accept,72.875,2,5
324.0,120.0,3.75,2.0,0.0,15.0,accept,74.0,1,7
317.0,102.0,3.09,13.0,0.0,15.0,accept,78.125,4,8
330.0,116.0,3.43,12.0,2.0,15.0,accept,80.375,1,7
304.0,105.0,3.2,31.0,3.0,15.0,accept,78.625,7,12
320.0,102.0,3.32,6.0,3.0,15.0,accept,76.25,3,9
325.0,113.0,2.76,12.0,0.0,15.0,accept,79.0,7,9
319.0,112.0,3.42,4.0,0.0,15.0,accept,76.125,7,11
326.0,111.0,2.76,1.0,0.0,15.0,accept,79.25,1,10
309.0,105.0,3.32,0.0,0.0,15.0,accept,77.25,6,4
320.0,117.0,3.37,2.0,2.0,15.0,accept,80.875,5,9
319.0,0.0,3.16,14.0,3.0,15.0,accept,74.0,9,8
314.0,108.0,3.34,17.0,0.0,15.0,accept,79.0,4,8
314.0,105.0,3.39,4.0,0.0,15.0,accept,82.5,6,6
312.0,104.0,1.24,2.0,0.0,15.0,accept,73.375,7,10
322.0,112.0,3.57,12.0,0.0,15.0,accept,75.875,7,7
328.0,114.0,2.99,69.0,0.0,15.0,accept,79.5,7,4
326.0,112.0,3.67,5.0,0.0,15.0,accept,80.875,9,5
317.0,110.0,3.47,0.0,0.0,15.0,accept,77.0,7,9
317.0,104.0,3.44,2.0,0.0,15.0,accept,80.125,8,10
309.0,108.0,3.1,26.0,0.0,15.0,accept,81.625,8,8
323.0,110.0,3.52,5.0,2.0,15.0,accept,75.25,4,4
316.0,110.0,3.82,16.0,3.0,15.0,accept,72.875,7,5
320.0,0.0,2.7,22.0,3.0,15.0,accept,78.25,4,12
313.0,106.0,3.42,0.0,1.0,15.0,accept,77.125,1,7
316.0,110.0,3.04,0.0,0.0,15.0,accept,78.125,8,8
315.0,104.0,2.97,2.0,0.0,15.0,accept,75.375,3,5
316.0,114.0,3.38,0.0,0.0,15.0,accept,82.0,1,7
321.0,113.0,3.54,2.0,2.0,15.0,accept,75.75,6,11
321.0,106.0,3.4,0.0,0.0,15.0,accept,71.375,4,6
334.0,117.0,3.28,0.0,3.0,15.0,accept,77.75,4,9
318.0,0.0,3.26,16.0,0.0,15.0,accept,80.0,1,5
316.0,110.0,3.36,36.0,0.0,15.0,accept,73.25,8,6
316.0,0.0,3.6,22.0,3.0,15.0,accept,69.5,9,10
322.0,110.0,3.16,52.0,0.0,15.0,accept,70.375,2,7
316.0,110.0,3.81,16.0,3.0,15.0,accept,79.0,1,7
319.0,110.0,3.64,12.0,0.0,15.0,accept,75.0,5,4
320.0,105.0,3.58,4.0,3.0,15.0,accept,80.5,7,11
328.0,113.0,3.18,44.0,0.0,15.0,accept,75.5,3,4
325.0,117.0,3.37,2.0,3.0,15.0,accept,77.25,4,9
323.0,114.0,2.92,4.0,0.0,15.0,accept,79.25,7,7
318.0,102.0,2.93,18.0,2.0,15.0,accept,71.25,8,12
320.0,112.0,3.02,28.0,0.0,15.0,accept,79.75,3,4
315.0,109.0,3.59,2.0,3.0,15.0,accept,73.125,4,7
320.0,118.0,2.98,14.0,0.0,15.0,accept,81.125,7,6
317.0,0.0,3.34,24.0,3.0,15.0,accept,76.875,4,12
316.0,113.0,3.17,26.0,0.0,15.0,accept,77.25,7,5
322.0,112.0,3.17,18.0,3.0,15.0,accept,76.875,5,10
316.0,103.0,3.1,6.0,0.0,15.0,accept,73.75,9,9
324.0,111.0,2.85,40.0,1.0,15.0,accept,70.0,6,8
316.0,104.0,3.05,8.0,0.0,15.0,accept,83.5,8,6
315.0,102.0,2.46,29.0,2.0,15.0,accept,74.5,8,9
308.0,104.0,3.07,7.0,0.0,15.0,accept,79.125,1,9
303.0,100.0,3.0,24.0,3.0,15.0,accept,77.625,3,8
319.0,115.0,2.95,24.0,0.0,15.0,accept,74.875,9,12
310.0,107.0,2.88,19.0,0.0,15.0,accept,73.375,1,8
319.0,114.0,3.05,16.0,0.0,15.0,accept,78.5,6,5
334.0,114.0,2.46,0.0,0.0,15.0,accept,78.625,7,12
319.0,102.0,2.25,0.0,0.0,15.0,accept,75.25,6,6
314.0,109.0,2.82,0.0,0.0,15.0,accept,74.5,2,6
311.0,98.0,2.15,0.0,0.0,15.0,accept,79.875,6,4
299.0,97.0,2.22,0.0,0.0,15.0,accept,78.625,2,4
302.0,109.0,2.9,0.0,0.0,15.0,accept,72.5,8,5
310.0,95.0,3.13,0.0,0.0,15.0,accept,72.75,3,6
312.0,104.0,2.1,0.0,0.0,15.0,accept,74.625,1,8
309.0,104.0,3.26,0.0,0.0,15.0,accept,83.375,8,7
320.0,108.0,2.92,18.0,0.0,15.0,accept,78.25,4,9
321.0,110.0,2.88,13.0,0.0,15.0,accept,78.875,4,5
318.0,113.0,3.19,9.0,0.0,15.0,accept,80.75,8,9
323.0,113.0,1.42,6.0,3.0,15.0,accept,75.25,6,4
314.0,112.0,3.24,29.0,0.0,15.0,accept,74.125,5,9
322.0,112.0,3.26,18.0,0.0,15.0,accept,76.875,2,11
316.0,108.0,3.33,21.0,0.0,15.0,accept,76.25,3,8
316.0,105.0,3.24,0.0,3.0,15.0,accept,76.125,7,9
319.0,105.0,2.9,5.0,3.0,15.0,accept,82.5,9,6
313.0,103.0,3.32,24.0,2.0,15.0,accept,81.625,8,7
314.0,108.0,3.32,29.0,3.0,15.0,accept,75.125,7,12
318.0,101.0,2.55,48.0,0.0,15.0,accept,83.5,5,12
311.0,101.0,2.92,28.0,0.0,15.0,accept,68.875,8,11
320.0,106.0,2.9,22.0,0.0,15.0,accept,80.25,9,8
304.0,102.0,2.75,36.0,0.0,15.0,accept,74.25,7,12
327.0,114.0,3.37,0.0,0.0,15.0,accept,76.625,7,7
316.0,106.0,2.73,20.0,0.0,15.0,accept,77.5,1,7
323.0,114.0,2.81,27.0,0.0,15.0,accept,78.25,8,10
310.0,103.0,2.34,28.0,3.0,15.0,accept,73.25,3,9
313.0,102.0,2.92,27.0,0.0,15.0,accept,82.5,4,9
306.0,102.0,2.91,31.0,2.0,15.0,accept,78.125,8,9
309.0,101.0,3.04,16.0,2.0,15.0,accept,73.625,7,11
313.0,101.0,3.44,24.0,0.0,15.0,accept,79.375,9,5
313.0,103.0,3.32,15.0,2.0,15.0,accept,75.875,7,4
311.0,110.0,3.72,24.0,0.0,15.0,accept,81.75,3,7
314.0,100.0,3.68,8.0,3.0,15.0,accept,77.375,1,5
316.0,109.0,3.34,18.0,0.0,15.0,accept,76.0,9,9
318.0,101.0,3.47,0.0,3.0,15.0,accept,73.5,9,5
319.0,111.0,2.8,20.0,0.0,15.0,accept,74.25,6,9
320.0,104.0,2.8,36.0,0.0,15.0,accept,76.625,9,12
317.0,113.0,2.56,21.0,1.0,15.0,accept,76.375,4,12
316.0,113.0,2.85,45.0,0.0,15.0,accept,83.375,5,7
316.0,119.0,2.99,14.0,2.0,15.0,accept,82.25,1,6
317.0,100.0,2.95,46.0,2.0,15.0,accept,77.0,5,8
319.0,104.0,3.04,2.0,0.0,15.0,accept,78.75,2,11
319.0,105.0,3.52,21.0,0.0,15.0,accept,72.875,7,4
316.0,102.0,2.92,0.0,3.0,15.0,accept,74.5,4,6
325.0,112.0,3.3,9.0,3.0,15.0,accept,77.5,8,6
311.0,104.0,3.51,0.0,2.0,15.0,accept,77.875,7,10
313.0,112.0,3.0,0.0,0.0,15.0,accept,78.5,8,8
316.0,102.0,3.15,40.0,0.0,15.0,accept,76.875,4,11
319.0,117.0,2.83,30.0,0.0,15.0,accept,76.0,7,9
312.0,101.0,3.01,22.0,0.0,15.0,accept,73.75,2,7
329.0,113.0,2.86,30.0,0.0,15.0,accept,80.0,6,5
308.0,99.0,3.04,24.0,0.0,15.0,accept,72.875,7,7
312.0,109.0,3.22,4.0,0.0,15.0,accept,77.0,2,7
310.0,99.0,2.85,24.0,0.0,15.0,accept,75.0,4,8
314.0,99.0,3.15,7.0,0.0,15.0,accept,80.875,1,5
319.0,107.0,3.18,20.0,0.0,15.0,accept,76.0,1,6
317.0,99.0,3.59,25.0,3.0,15.0,accept,79.375,3,8
314.0,103.0,3.52,2.0,0.0,15.0,accept,79.75,9,10
312.0,108.0,3.6,0.0,0.0,15.0,accept,72.375,1,7
313.0,99.0,2.95,7.0,0.0,15.0,accept,74.125,9,8
315.0,108.0,3.16,4.0,0.0,15.0,accept,74.375,1,11
313.0,110.0,2.67,3.0,3.0,15.0,accept,76.125,4,10
320.0,115.0,3.04,1.0,0.0,15.0,accept,77.625,4,8
320.0,104.0,3.1,1.0,0.0,15.0,accept,79.5,6,12
315.0,107.0,3.76,6.0,0.0,15.0,accept,78.125,8,4
318.0,112.0,3.29,0.0,0.0,15.0,accept,75.625,8,12
314.0,107.0,3.13,42.0,3.0,15.0,accept,79.625,6,9
309.0,101.0,3.24,13.0,0.0,15.0,accept,78.375,8,7
322.0,102.0,3.48,19.0,0.0,15.0,accept,78.75,9,10
314.0,111.0,3.75,26.0,0.0,15.0,accept,70.0,8,7
324.0,98.0,2.36,0.0,0.0,15.0,accept,80.375,6,4
311.0,103.0,3.08,1.0,0.0,15.0,accept,78.75,6,9
315.0,108.0,2.58,12.0,0.0,15.0,accept,79.25,5,9
318.0,106.0,3.55,15.0,3.0,15.0,accept,74.125,9,9
315.0,100.0,3.33,1.0,0.0,15.0,accept,76.5,5,11
316.0,106.0,3.4,7.0,3.0,15.0,accept,75.5,5,10
320.0,108.0,3.15,2.0,0.0,15.0,accept,83.5,2,8
310.0,100.0,2.45,17.0,3.0,15.0,accept,81.375,8,4
314.0,105.0,3.56,0.0,1.0,15.0,accept,72.25,8,12
325.0,110.0,3.08,19.0,0.0,15.0,accept,74.5,5,11
316.0,101.0,3.66,0.0,0.0,15.0,accept,79.0,6,7
315.0,109.0,2.7,6.0,3.0,15.0,accept,74.0,4,10
322.0,111.0,2.92,6.0,0.0,15.0,accept,75.75,6,6
310.0,101.0,2.4,32.0,0.0,15.0,accept,74.125,7,7
313.0,103.0,3.35,38.0,0.0,15.0,accept,73.5,6,11
309.0,104.0,3.28,0.0,0.0,15.0,accept,76.5,5,11
315.0,110.0,3.26,48.0,0.0,15.0,accept,84.625,7,6
309.0,101.0,3.05,2.0,2.0,15.0,accept,76.75,8,12
317.0,105.0,2.8,3.0,0.0,15.0,accept,76.5,6,9
307.0,111.0,2.74,40.0,0.0,15.0,accept,70.75,4,6
313.0,110.0,3.73,36.0,3.0,15.0,accept,82.625,2,12
314.0,105.0,3.39,36.0,0.0,15.0,accept,74.125,3,10
317.0,108.0,3.07,0.0,1.0,15.0,accept,78.0,7,5
317.0,107.0,3.1,0.0,0.0,15.0,accept,74.625,8,8
315.0,105.0,2.1,25.0,3.0,15.0,accept,73.5,4,5
315.0,108.0,2.9,2.0,0.0,15.0,accept,81.875,2,4
315.0,100.0,3.3,60.0,0.0,15.0,accept,78.75,5,6
326.0,112.0,2.55,23.0,0.0,15.0,accept,77.625,9,5
317.0,110.0,3.17,5.0,3.0,15.0,accept,76.625,8,10
315.0,104.0,2.35,12.0,3.0,15.0,accept,83.25,7,5
319.0,106.0,3.49,7.0,3.0,15.0,accept,77.375,4,7
315.0,110.0,3.3,22.0,0.0,15.0,accept,75.875,8,10
309.0,103.0,2.8,67.0,0.0,15.0,accept,80.0,6,8
320.0,107.0,3.28,17.0,3.0,15.0,accept,73.625,9,11
324.0,110.0,3.36,2.0,0.0,15.0,accept,74.125,6,8
319.0,107.0,3.48,13.0,0.0,15.0,accept,73.625,8,4
310.0,99.0,2.55,48.0,0.0,15.0,accept,73.375,2,12
303.0,109.0,3.0,0.0,3.0,15.0,accept,78.5,2,4
309.0,102.0,3.22,17.0,0.0,15.0,accept,74.0,8,11
321.0,112.0,3.24,12.0,0.0,15.0,accept,77.25,4,4
318.0,101.0,2.88,4.0,3.0,15.0,accept,74.125,6,5
310.0,103.0,2.38,24.0,0.0,15.0,accept,73.75,4,11
307.0,99.0,2.73,15.0,0.0,15.0,accept,74.5,5,8
309.0,104.0,2.64,32.0,0.0,15.0,accept,72.625,3,6
320.0,103.0,3.38,40.0,0.0,15.0,accept,73.5,2,5
329.0,117.0,3.47,2.0,0.0,15.0,accept,72.75,5,6
317.0,107.0,2.81,20.0,0.0,15.0,accept,69.125,4,10
317.0,111.0,3.79,24.0,0.0,15.0,accept,71.25,8,9
312.0,109.0,2.65,36.0,0.0,15.0,accept,84.5,2,4
318.0,111.0,2.48,35.0,0.0,15.0,accept,78.0,7,12
321.0,117.0,3.48,0.0,0.0,15.0,accept,76.75,4,6
307.0,75.0,2.98,27.0,0.0,15.0,accept,77.625,1,9
311.0,109.0,3.07,0.0,0.0,15.0,accept,81.25,7,10
324.0,107.0,3.27,7.0,0.0,15.0,accept,77.875,2,7
317.0,102.0,3.26,1.0,0.0,15.0,accept,77.0,3,10
316.0,109.0,3.09,0.0,2.0,15.0,accept,79.5,2,7
313.0,111.0,2.76,30.0,1.0,15.0,accept,75.0,4,9
